,player_code,player_id,first_name,second_name,web_name,team_code,position,gw,position_Defender,position_Forward,position_Goalkeeper,position_Midfielder,early_season_flag,minutes_played,season_minutes_portion,season_minutes_portion_Low,season_minutes_portion_Medium,season_minutes_portion_High,season_minutes_portion_Ironman,season_goals_per90,season_assists_per90,season_total_shots_per90,season_xg_per90,season_xa_per90,season_xgot_per90,season_shots_on_target_per90,season_chances_created_per90,season_touches_per90,season_accurate_passes_per90,season_final_third_passes_per90,season_accurate_crosses_per90,season_accurate_long_balls_per90,season_successful_dribbles_per90,season_tackles_won_per90,season_interceptions_per90,season_recoveries_per90,season_clearances_per90,season_dribbled_past_per90,season_duels_won_per90,season_fouls_committed_per90,season_saves_per90,season_goals_conceded_per90,season_xgot_faced_per90,season_goals_prevented_per90,season_team_goals_conceded_per90,status,chance_of_playing_this_round,now_cost,selected_by_percent,form,form_rank,value_form,value_season,points_per_game,status_a,status_d,status_i,status_u,points
0,154561,1,David,Raya Martín,Raya,3,Goalkeeper,18,False,False,True,False,0,0,1.0,False,False,False,True,0.0,0.0,0.0,0.0,0.0029411764705882357,0.0,0.0,0.058823529411764705,39.64705882352941,21.0,7.647058823529412,0.0,5.470588235294118,0.058823529411764705,0.0,0.0,8.352941176470589,0.7647058823529411,0.0,0.5294117647058824,0.0,1.588235294117647,0.5882352941176471,0.5388235294117647,-0.04941176470588236,0.5882352941176471,a,,6.0,36.2,4.0,72.0,0.7,12.5,4.4,1,0,0,0,
1,109745,2,Kepa,Arrizabalaga Revuelta,Arrizabalaga,3,Goalkeeper,18,False,False,True,False,0,0,0.0,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,a,,4.1,0.4,0.0,523.0,0.0,0.0,0.0,1,0,0,0,
2,463748,3,Karl,Hein,Hein,3,Goalkeeper,18,False,False,True,False,0,0,0.0,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,4.0,0.2,0.0,488.0,0.0,0.0,0.0,0,0,0,1,
3,551221,4,Tommy,Setford,Setford,3,Goalkeeper,18,False,False,True,False,0,0,0.0,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,a,,3.9,0.3,0.0,458.0,0.0,0.0,0.0,1,0,0,0,
4,226597,5,Gabriel,dos Santos Magalhães,Gabriel,3,Defender,18,True,False,False,False,0,0,0.6470588235294118,False,True,False,False,0.09090909090909091,0.18181818181818182,0.7272727272727273,0.07454545454545454,0.07,0.07909090909090909,0.09090909090909091,0.36363636363636365,77.0909090909091,57.0,5.545454545454546,0.0,1.8181818181818183,0.09090909090909091,0.0,0.9090909090909092,1.3636363636363638,5.90909090909091,0.2727272727272727,5.727272727272727,0.36363636363636365,0.0,0.0,0.0,0.0,0.4545454545454546,d,,6.2,12.4,0.0,755.0,0.0,13.1,7.4,0,1,0,0,
5,462424,6,William,Saliba,Saliba,3,Defender,18,True,False,False,False,0,0,0.6503267973856209,False,False,True,False,0.0,0.0,0.18090452261306533,0.023517587939698496,0.040703517587939705,0.0,0.0,0.09045226130653267,94.61306532663316,79.41708542713567,6.060301507537689,0.09045226130653267,2.170854271356784,0.271356783919598,0.0,0.542713567839196,4.341708542713568,4.4321608040201,0.271356783919598,4.613065326633166,0.542713567839196,0.0,0.0,0.0,0.0,0.6331658291457287,a,,5.9,11.4,1.6,235.0,0.3,8.3,3.8,1,0,0,0,
6,466075,7,Riccardo,Calafiori,Calafiori,3,Defender,18,True,False,False,False,0,0,0.8254901960784313,False,False,True,False,0.07125890736342043,0.14251781472684086,1.5676959619952495,0.17529691211401427,0.02565320665083136,0.13966745843230402,0.3562945368171021,0.2850356294536817,62.066508313539195,33.4916864608076,4.346793349168646,0.2137767220902613,1.0688836104513064,0.8551068883610452,0.0,0.8551068883610452,3.990498812351544,2.992874109263658,0.3562945368171021,5.486935866983373,1.5676959619952495,0.0,0.0,0.0,0.0,0.5700712589073634,a,,5.7,10.4,2.8,132.0,0.5,13.5,4.8,1,0,0,0,
7,445122,8,Jurriën,Timber,J.Timber,3,Defender,18,True,False,False,False,0,0,0.9013071895424837,False,False,False,True,0.13052936910804933,0.13052936910804933,1.1747643219724437,0.22777374909354603,0.057432922407541706,0.21015228426395938,0.3263234227701233,0.9789702683103699,66.7005076142132,38.57142857142857,6.787527193618564,0.13052936910804933,0.6526468455402465,0.5873821609862219,0.0,0.7831762146482959,3.7200870195794056,1.892675852066715,0.26105873821609865,5.873821609862218,1.305293691080493,0.0,0.0,0.0,0.0,0.6526468455402465,a,,6.5,33.7,2.8,135.0,0.4,13.2,5.1,1,0,0,0,
8,440854,9,Jakub,Kiwior,Kiwior,3,Defender,18,True,False,False,False,0,0,0.0,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,5.4,0.0,0.0,738.0,0.0,0.0,0.0,0,0,0,1,
9,499169,10,Myles,Lewis-Skelly,Lewis-Skelly,3,Defender,18,True,False,False,False,0,0,0.12745098039215685,True,False,False,False,0.0,0.0,0.46153846153846156,0.027692307692307693,0.023076923076923078,0.0,0.0,0.9230769230769231,74.76923076923077,48.0,5.538461538461538,0.0,0.46153846153846156,1.3846153846153846,0.0,0.9230769230769231,5.076923076923077,2.3076923076923075,0.0,4.615384615384615,2.3076923076923075,0.0,0.0,0.0,0.0,2.3076923076923075,a,,5.1,1.7,0.4,358.0,0.1,1.8,0.8,1,0,0,0,
