,Feature,Importance
37,form,535.8519287109375
38,form_rank,301.0237731933594
4,season_minutes_portion_Low,143.58328247070312
42,status_a,143.11935424804688
34,chance_of_playing_this_round,142.89849853515625
36,selected_by_percent,137.00840759277344
52,opponent_strength,119.22785186767578
35,now_cost,105.62879943847656
53,opponent_elo,98.16354370117188
41,points_per_game,95.26167297363281
46,team_strength,85.93954467773438
44,status_i,83.5615234375
39,value_form,80.81160736083984
50,opponent_fixture_elo,65.7948226928711
47,team_elo,64.96417999267578
51,fixture_elo_difference,62.96583938598633
5,season_minutes_portion_Medium,62.49990463256836
49,team_fixture_elo,61.862979888916016
14,season_shots_on_target_per90,59.91605758666992
10,season_total_shots_per90,59.66095733642578
