,Feature,Importance
20,form,336.20440673828125
19,chance_of_playing_this_round,128.44908142089844
21,points_per_game,99.0272445678711
15,status_a,82.0734634399414
14,now_cost,69.63690948486328
11,opponent_strength,68.12812805175781
12,opponent_fixture_elo,54.9498405456543
9,team_fixture_elo,47.02865219116211
13,fixture_elo_difference,45.4911994934082
6,season_team_goals_conceded_per90,40.58553695678711
5,season_xa_per90,40.05867385864258
10,is_home,35.03314208984375
3,position_Forward,34.50511932373047
4,season_xg_per90,34.45838165283203
16,status_d,34.320674896240234
8,season_saves_per90,32.113929748535156
7,season_xgot_faced_per90,30.97903060913086
1,position_Defender,27.783645629882812
2,position_Midfielder,26.48443603515625
0,position_Goalkeeper,24.456268310546875
