,Feature,Importance
38,form,629.7684936523438
5,season_minutes_portion_Low,304.94146728515625
39,form_rank,250.308837890625
35,chance_of_playing_this_round,160.72291564941406
37,selected_by_percent,127.99549102783203
40,value_form,125.24235534667969
43,status_a,119.63934326171875
54,opponent_elo,117.64759063720703
6,season_minutes_portion_Medium,110.90978240966797
42,points_per_game,107.37316131591797
53,opponent_strength,95.92156982421875
36,now_cost,92.64398956298828
45,status_i,86.6703109741211
51,opponent_fixture_elo,77.12383270263672
52,fixture_elo_difference,72.05846405029297
11,season_total_shots_per90,68.92308044433594
48,team_elo,68.05493927001953
15,season_shots_on_target_per90,67.5056381225586
50,team_fixture_elo,63.996726989746094
12,season_xg_per90,60.16622543334961
