,first_name,second_name,position,team_name,now_cost,linear_horizon_performance_score,predicted_horizon_points
0,Erling,Haaland,Forward,Man City,14.1,8.584616842724028,51.982197
1,Viktor,Gyökeres,Forward,Arsenal,9.0,6.815278575533911,40.97777
2,Igor Thiago,Nascimento Rodrigues,Forward,Brentford,6.0,5.124366033644903,30.822865
3,Mohamed,Salah,Midfielder,Liverpool,14.5,9.989522434416271,60.20001
4,Matt,O'Riley,Midfielder,Brighton,5.5,5.732671215420678,33.820248
5,Cody,Gakpo,Midfielder,Liverpool,7.5,5.072546868097215,30.214579
6,Dango,Ouattara,Midfielder,Brentford,6.0,4.679314772288004,27.816542
7,Riccardo,Calafiori,Defender,Arsenal,5.6,4.02538199651809,25.440388
8,Pedro,Porro Sauceda,Defender,Spurs,5.5,3.8123214585440497,23.157284
9,Gabriel,Gudmundsson,Defender,Leeds,4.0,2.9865348679678783,18.457525
10,Alisson,Becker,Goalkeeper,Liverpool,5.5,4.020089331127348,24.130787
11,,,,,,,
12,,Total,,,83.2,60.8,367.0
